# Thẻ từ vựng BỔ SUNG — nhóm 2: từ vựng tần suất trung bình + thuật ngữ chuyên môn còn thiếu.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-formal | vocabulary | formal, formally, informal, informally | /ˈfɔːrml/ | adj | following official rules and procedures | chính thức, trang trọng | Cặp đối chiếu hay gặp: formal process (quy trình chính thức, nhiều giấy tờ) vs informal conversation (trao đổi thân mật). Agile ưu tiên vế sau khi có thể. | An informal conversation often resolves the issue faster than a formal change request.
vocab-audit | vocabulary | audit, audits, audited, auditing, auditor | /ˈɔːdɪt/ | n | an official examination of records to check compliance | kiểm toán, thanh tra | Yêu cầu audit là một dạng ràng buộc regulatory làm nảy sinh nhu cầu truy vết và tài liệu. | Audit requirements dictate what evidence the team must retain.
vocab-i-shaped | vocabulary | i-shaped, i shaped, generalizing specialist, generalising specialist | /ˈaɪ ʃeɪpt/ | adj | having deep skill in one area but no breadth | hình chữ I (chỉ sâu một mảng) | Đối lập với T-shaped. Nhóm toàn người I-shaped tạo bottleneck vì không ai giúp được ai. | A team of I-shaped specialists creates a bottleneck at every handoff.
vocab-fishbowl | vocabulary | fishbowl, fishbowl window | /ˈfɪʃboʊl/ | n | a persistent open video link between distributed team sites | cửa sổ bể cá (video mở liên tục) | Kỹ thuật cho nhóm phân tán: mở video suốt ngày để tái tạo osmotic communication. | A fishbowl window recreates some of the osmotic communication of a shared room.
vocab-sailboat | vocabulary | sailboat, speedboat, sailboat retrospective | /ˈseɪlboʊt/ | n | a retrospective format using wind, anchors, rocks and an island | thuyền buồm (mẫu retrospective) | Ẩn dụ: gió = điều thúc đẩy, mỏ neo = điều níu lại, đá ngầm = rủi ro, hòn đảo = mục tiêu. | The sailboat retrospective asks what pushes the team forward and what holds it back.
vocab-releasable | vocabulary | releasable, potentially shippable, shippable | /rɪˈliːsəbl/ | adj | finished to a standard that would allow release at any time | sẵn sàng phát hành | Trạng thái mà mỗi increment phải đạt — quyết định phát hành hay không là việc của Product Owner, nhưng CHẤT LƯỢNG phải sẵn sàng. | Every increment must be releasable, even if the product owner chooses not to release it.
vocab-prune | vocabulary | prune, prunes, pruned, pruning, groom, grooming | /pruːn/ | v | to remove items that are no longer needed | tỉa bớt, dọn dẹp | Backlog phải được prune: xóa item cũ không còn giá trị. Backlog phình to là dấu hiệu thiếu chăm sóc. | Prune the backlog regularly; an item untouched for a year is unlikely to matter.
vocab-gantt-chart | vocabulary | gantt chart, gantt, gantt charts | /ˈɡænt tʃɑːrt/ | n | a bar chart showing scheduled tasks against a calendar | biểu đồ Gantt | Công cụ predictive điển hình. Trong đề Agile, chọn Gantt để theo dõi sprint thường là đáp án sai — burndown/burnup mới phù hợp. | A Gantt chart hides the uncertainty that a burndown chart makes visible.
vocab-crystal | vocabulary | crystal, crystal clear, crystal methods | /ˈkrɪstl/ | n | a family of agile methods sized by team size and criticality | họ phương pháp Crystal | Của Alistair Cockburn: chọn mức nghi thức theo QUY MÔ nhóm và MỨC TRỌNG YẾU — không có một cỡ cho tất cả. | Crystal scales its ceremony to the team's size and the system's criticality.
vocab-wireframe | vocabulary | wireframe, wireframes | /ˈwaɪərfreɪm/ | n | a simple line drawing showing the layout of a screen | bản phác giao diện | Công cụ khám phá rẻ tiền: thử ý tưởng giao diện trước khi viết code. | A wireframe tests the idea before a single line of code is written.
vocab-repository | vocabulary | repository, repositories, repo | /rɪˈpɑːzətɔːri/ | n | the shared store where source code and its history are kept | kho mã nguồn | Nền tảng của collective code ownership và continuous integration. | Everyone commits to the shared repository at least once a day.
vocab-quality-assurance | vocabulary | quality assurance, qa, quality control | /ˈkwɑːləti əˈʃʊrəns/ | n | the practices that prevent defects, as distinct from finding them | đảm bảo chất lượng | Phân biệt: QA (assurance) NGĂN lỗi bằng quy trình; QC (control) TÌM lỗi bằng kiểm thử. Agile nhấn vào QA. | Quality assurance builds quality in; quality control only inspects it afterwards.
