# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất CAO NHẤT (xuất hiện >= 60 câu) còn thiếu thẻ.
# Chọn từ data/candidates-a1.txt: mốc lọc chỉ còn ~350 từ lõi A1, nên những từ như "customer",
# "avoid", "require", "situation" — người A1 thật sự chưa biết — nay đều được soạn thẻ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-member | vocabulary | member, members, member's, members' | /ˈmembər/ | n | a person belonging to a group | thành viên | "Team member" = thành viên nhóm — cụm xuất hiện nhiều nhất trong toàn bộ đề thi. | Every team member shares responsibility for quality.
vocab-suppose | exam-phrase | suppose, supposed, supposed to, be supposed to | /səˈpoʊz/ | v | to think something is probably true; to be expected to | cho rằng; lẽ ra phải | Cụm "is supposed to" = lẽ ra phải (nhưng thực tế không) — tín hiệu có khoảng cách giữa lý thuyết và thực tế. | The standup is supposed to last fifteen minutes.
vocab-fear | vocabulary | fear, fears, feared, fearful | /fɪr/ | n | the feeling of being afraid | nỗi sợ | "Fear of blame" giết chết transparency: sợ bị đổ lỗi thì không ai dám nêu vấn đề. | Fear of blame stops people reporting problems early.
vocab-fact | exam-phrase | fact, facts, in fact | /fækt/ | n | something known to be true | sự thật, thực tế | Cụm "in fact" = thực ra — thường dùng để đính chính hiểu lầm ngay trước đó. | In fact, velocity had not dropped at all.
vocab-maximum | vocabulary | maximum, max, min | /ˈmæksɪməm/ | n | the largest or smallest amount allowed | tối đa, tối thiểu | WIP limit là một "maximum" — số việc tối đa được phép làm cùng lúc trong một cột. | The WIP limit sets the maximum items in that column.
vocab-ahead | exam-phrase | ahead, ahead of, ahead of schedule | /əˈhed/ | adv | in front; earlier than planned | phía trước; sớm hơn kế hoạch | Cặp với "behind schedule". "Plan ahead" = lên kế hoạch trước. | The team was ahead of schedule for the first time.
vocab-else | exam-phrase | else, someone else, something else, anything else | /els/ | adv | other than the person or thing mentioned | khác, còn nữa | "Someone else" = một người khác. "What else?" = còn gì nữa — câu hỏi mở rất hay dùng khi facilitate. | Ask "what else?" before closing the discussion.
vocab-constantly | exam-phrase | constantly, constant | /ˈkɑːnstəntli/ | adv | happening all the time, often annoyingly | liên tục, không ngớt | Sắc thái thường TIÊU CỰC: "constantly interrupted" = bị ngắt quãng liên tục — dấu hiệu môi trường làm việc có vấn đề. | The team was constantly interrupted by ad-hoc requests.
vocab-cover | vocabulary | cover, covers, covered, covering | /ˈkʌvər/ | v | to deal with or include something | bao quát, đề cập tới | "The retrospective covered three topics" = buổi họp đã bàn tới ba chủ đề. | The definition of done covers testing and documentation.
vocab-content | vocabulary | content, contents | /ˈkɑːntent/ | n | the things contained in something | nội dung | Danh từ /ˈkɑːntent/ nghĩa nội dung; tính từ /kənˈtent/ lại nghĩa "hài lòng" — trọng âm khác nhau. | The content of the backlog changes constantly.
vocab-confidence | vocabulary | confidence, confident, confidently | /ˈkɑːnfɪdəns/ | n | the feeling of being sure about something | sự tự tin, mức tin cậy | "Confidence level" trong ước lượng: đưa dự báo kèm mức tin cậy trung thực hơn một con số chắc nịch. | Give a forecast with a confidence level, not a promise.
vocab-mistake | vocabulary | mistake, mistakes, mistaken | /mɪˈsteɪk/ | n | something done wrongly | sai lầm, lỗi | Văn hoá Agile: mistake là cơ hội học, không phải cớ để phạt — nền tảng của psychological safety. | Treat the mistake as data, not as a reason to blame.
vocab-bug | vocabulary | bug, bugs, defect, defects | /bʌɡ/ | n | an error in software that makes it behave wrongly | lỗi phần mềm | Đồng nghĩa thân mật của "defect". Bug lọt tới production gọi là escaped defect. | Bugs found in production are the most expensive kind.
vocab-repeat | vocabulary | repeat, repeats, repeated, repeating, repetitive | /rɪˈpiːt/ | v | to do or say something again | lặp lại | Việc repetitive nên tự động hoá. Vấn đề repeated là dấu hiệu chưa xử lý root cause. | A repeated defect means the root cause was never fixed.
vocab-despite | exam-phrase | despite, in spite of | /dɪˈspaɪt/ | prep | without being affected by | mặc dù, bất chấp | Theo sau là DANH TỪ hoặc V-ing, không phải mệnh đề: "despite the delay" chứ không "despite the delay was long". | Despite the delay, the team kept its quality standards.
vocab-switch | vocabulary | switch, switches, switched, switching | /swɪtʃ/ | v | to change from one thing to another | chuyển đổi, đổi sang | "Task switching" là một trong bảy loại lãng phí — mỗi lần đổi việc mất thời gian lấy lại tập trung. | Task switching quietly destroys the team's throughput.
vocab-poor | vocabulary | poor, poorly | /pʊr/ | adj | of low quality | kém, tồi | "Poor quality", "poorly defined" — cách nói thẳng về vấn đề, hay xuất hiện trong phần chẩn đoán nguyên nhân. | Poorly defined stories are the most common cause of rework.
vocab-ago | exam-phrase | ago | /əˈɡoʊ/ | adv | before the present time | cách đây, trước đây | Mốc thời gian trong quá khứ: "two sprints ago" = cách đây hai sprint. | Two sprints ago the team agreed to limit work in progress.
vocab-note | vocabulary | note, notes, noted, noting | /noʊt/ | v | to notice or write down something | ghi chú; lưu ý | "Note that…" = lưu ý rằng — mở đầu một chi tiết quan trọng dễ bỏ sót trong phần giải thích. | Note that the sprint length never changes.
vocab-believe | vocabulary | believe, believes, believed, belief | /bɪˈliːv/ | v | to think something is true | tin, cho rằng | Cặp đối chiếu: belief (niềm tin) vs evidence (bằng chứng). Agile quyết theo evidence. | The team believed the API was ready but never verified it.
vocab-quite | exam-phrase | quite, rather, fairly | /kwaɪt/ | adv | to a fairly large degree | khá, tương đối | Từ giảm nhẹ mức độ: "quite difficult" = khá khó (chưa phải cực khó). Đọc kỹ mức độ để không thổi phồng tình huống. | The change was quite small but the impact was large.
